"temperature","avg_ws"
"-2.06","558027.770000000000"
"5.54","817485.140000000000"
"6.23","1083071.140000000000"
"7.46","593875.460000000000"
"9.51","775910.430000000000"
"9.55","1034119.210000000000"
"10.09","661163.940000000000"
"10.11","513372.170000000000"
"10.24","559903.130000000000"
"10.53","496725.440000000000"
"10.91","1083657.610000000000"
"11.17","782826.235000000000"
"11.29","816603.050000000000"
"11.32","547384.900000000000"
"12.19","1059715.270000000000"
"12.39","573545.960000000000"
"12.98","809833.210000000000"
"13.29","904261.650000000000"
"13.64","479263.150000000000"
"13.76","729572.080000000000"
"14.02","811365.420000000000"
"14.19","813211.460000000000"
"14.31","945643.170000000000"
"14.44","574798.860000000000"
"14.48","1001943.800000000000"
"14.50","1159438.530000000000"
"14.56","1179420.500000000000"
"14.64","764014.750000000000"
"14.84","849540.850000000000"
"15.02","466806.890000000000"
"15.12","1010711.080000000000"
"15.20","720242.190000000000"
"15.22","838751.500000000000"
"15.25","1364721.580000000000"
"15.33","1146992.130000000000"
"15.47","1070457.800000000000"
"15.56","815915.520000000000"
"15.58","1110706.060000000000"
"15.64","749549.550000000000"
"16.30","910298.440000000000"
"16.50","888869.270000000000"
"16.57","758510.360000000000"
"16.60","1149612.040000000000"
"16.70","812323.290000000000"
"16.81","1150003.360000000000"
"16.87","931939.520000000000"
"16.94","1016432.385000000000"
"17.00","1206917.200000000000"
"17.05","1548661.450000000000"
"17.30","572387.470000000000"
"17.46","508528.215000000000"
"17.56","976522.930000000000"
"17.91","1126921.340000000000"
"17.94","1415746.910000000000"
"17.95","835189.260000000000"
"18.12","443242.170000000000"
"18.14","1015684.090000000000"
"18.20","1016756.100000000000"
"18.30","572360.830000000000"
"18.36","841951.910000000000"
"18.49","977070.620000000000"
"18.51","1124357.200000000000"
"18.55","771315.620000000000"
"18.67","713117.660000000000"
"18.73","877268.290000000000"
"18.75","1144872.615000000000"
"18.76","1289156.900000000000"
"18.79","563460.770000000000"
"18.80","972834.420000000000"
"18.92","600448.690000000000"
